[0825/223841.001:INFO:CONSOLE(150)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yr/r/_NjP7kJB0Kz.js?_nc_x=Ij3Wp8lg5Kz (150)
[0825/223841.156:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0825/223841.156:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'compute-pressure'.", source:  (0)
[0825/223841.156:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0825/223841.156:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0825/223841.157:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage-select-url'.", source:  (0)
[0825/223844.650:INFO:CONSOLE(342)] "WAWebLoggerWorker initialized", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223844.662:INFO:CONSOLE(342)] "db: start setSchemaVersions from fts worker interface", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223844.662:INFO:CONSOLE(342)] "db: set schema versions: [model-storage,158,fts-storage,8,jobs-storage,1,lru-media-storage-idb,2,offd-storage,4,qpl-storage,0,signal-storage,6,worker-storage,1,sw,2,wawc,14,wawc_db_enc,2]. is worker? true", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223849.689:INFO:CONSOLE(342)] "FTS:Delegate: start indexer", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223849.689:INFO:CONSOLE(342)] "FTS:Delegate: start perform init", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223849.689:INFO:CONSOLE(342)] "FTS:Delegate: schema versions ready", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223849.689:INFO:CONSOLE(342)] "FTS:Delegate: before db initialization", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223851.388:INFO:CONSOLE(342)] "FTS:Delegate: after db initialization", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223851.394:INFO:CONSOLE(342)] "FTS:Manifest Writer: No changes made, current:['3.1', '1'], latest:['3.1', '1']", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223851.394:INFO:CONSOLE(342)] "FTS:Delegate: Inited", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223851.396:INFO:CONSOLE(342)] "FTS:Delegate: Init indexing ops", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223851.402:INFO:CONSOLE(342)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223851.402:INFO:CONSOLE(342)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223856.895:INFO:CONSOLE(342)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223856.931:INFO:CONSOLE(342)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
[0825/223856.931:INFO:CONSOLE(342)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/yn/r/ZRJciNtJMut.js?_nc_x=Ij3Wp8lg5Kz (342)
